timestamp,user,message,viewer_count
2026-05-31T18:00:00Z,ViewerA,"this queue is wild today",1200
2026-05-31T18:00:20Z,ViewerB,"nice clutch",1202
2026-05-31T18:01:05Z,ViewerC,"what build is that?",1207
2026-05-31T18:01:42Z,ViewerD,"love this stream",1212
2026-05-31T18:02:10Z,ViewerE,"lol that was close",1215
2026-05-31T18:03:35Z,ViewerF,"good run",1220
2026-05-31T18:04:10Z,ViewerG,"need the settings later",1225
2026-05-31T18:05:00Z,StreamerOne,"Sponsored moment: BrandPulse gave us code TWITCH20 for 20% off. Link in chat!",1230
2026-05-31T18:05:12Z,ViewerH,"TWITCH20 actually works nice",1234
2026-05-31T18:05:25Z,ViewerI,"where is the link?",1238
2026-05-31T18:05:40Z,ViewerJ,"bought it thanks",1244
2026-05-31T18:06:10Z,ViewerK,"is BrandPulse good for console too?",1249
2026-05-31T18:06:24Z,ViewerL,"20% off is a solid deal",1253
2026-05-31T18:06:50Z,ViewerM,"hype this is actually useful",1260
2026-05-31T18:07:05Z,ViewerN,"code?",1263
2026-05-31T18:07:40Z,ViewerO,"ordered one lets go",1268
2026-05-31T18:08:15Z,ViewerP,"kind of expensive but maybe",1261
2026-05-31T18:09:20Z,ViewerQ,"love when sponsors fit the stream",1265
2026-05-31T18:11:00Z,ViewerA,"back to ranked",1258
2026-05-31T18:12:30Z,ViewerB,"that last promo was clean",1260
2026-05-31T18:18:00Z,ViewerC,"new map?",1250
2026-05-31T18:19:05Z,ViewerD,"chat is quiet now",1243
2026-05-31T18:20:00Z,StreamerOne,"Quick reminder: use code TWITCH20 at BrandPulse before the deal ends tonight.",1240
2026-05-31T18:20:12Z,ViewerR,"again?",1235
2026-05-31T18:20:22Z,ViewerS,"too much ad today",1228
2026-05-31T18:20:47Z,ViewerT,"no thanks expensive",1220
2026-05-31T18:21:05Z,ViewerU,"what does it even do?",1214
2026-05-31T18:21:32Z,ViewerV,"skip",1205
2026-05-31T18:22:15Z,ViewerW,"still need the link though",1201
2026-05-31T18:23:00Z,ViewerX,"ad read was kinda long",1198
2026-05-31T18:24:30Z,ViewerY,"back to game please",1194
